"CodComune";"Comune";"Provincia";"TipoIstituto";"CodiceScuola";"Denominazione";"CodiceIstituto";"DenominazioneIstituto";"Alunni";"Hand";"Classi";"Ciclo";"annoScolastico";"ComuneIstituto";"CodComuneIstituto"
"087015";"CATANIA";"CATANIA";;"CTEE8A801L";"VIA D. CHIESA, 5";"CTIC8A800E";"I.C. SAURO - GIOVANNI XXIII";"144";"13";"8";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8A802N";"VIA T.TASSO, 3";"CTIC8A800E";"I.C. SAURO - GIOVANNI XXIII";"463";"21";"21";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8A803P";"VIA T. TASSO,1";"CTIC8A800E";"I.C. SAURO - GIOVANNI XXIII";"205";"11";"10";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8A901C";"I.C. PIZZIGONI - CARDUCCI";"CTIC8A900A";"I.C. PIZZIGONI- CARDUCCI";"850";"39";"36";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AB01N";"CD BATTISTI CATANIA";"CTIC8AB00G";"IC CESARE BATTISTI CATANIA";"115";"4";"6";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AB02P";"VIA PLEBISCITO";"CTIC8AB00G";"IC CESARE BATTISTI CATANIA";"78";"5";"5";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AB03Q";"CONCORDIA";"CTIC8AB00G";"IC CESARE BATTISTI CATANIA";"173";"15";"10";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AC01D";"C.D. DELEDDA";"CTIC8AC00B";"IC G. DELEDDA CATANIA";"293";"11";"15";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AC02E";"OSPEDALE SAN MARCO";"CTIC8AC00B";"IC G. DELEDDA CATANIA";"90";"0";"3";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AD019";"S.G. BOSCO - PLESSO VIA PALERMO";"CTIC8AD007";"IC S.G. BOSCO CATANIA";"185";"28";"10";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AD02A";"S.G. BOSCO - SEDE CENTRALE";"CTIC8AD007";"IC S.G. BOSCO CATANIA";"318";"48";"15";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AE015";"CD TEMPESTA CATANIA";"CTIC8AE003";"IC TEMPESTA CATANIA";"104";"12";"5";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AE026";"VIA PLAIA";"CTIC8AE003";"IC TEMPESTA CATANIA";"96";"5";"5";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AE037";"VIA S.G.LA RENA";"CTIC8AE003";"IC TEMPESTA CATANIA";"67";"6";"5";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AF011";"BAINSIZZA";"CTIC8AF00V";"IC M. MONTESSORI - P.MASCAGNI";"186";"21";"11";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AF022";"IV NOVEMBRE";"CTIC8AF00V";"IC M. MONTESSORI - P.MASCAGNI";"108";"12";"6";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AF033";"VIA DI GREGORIO";"CTIC8AF00V";"IC M. MONTESSORI - P.MASCAGNI";"125";"16";"8";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AG01R";"CD P.S.DI GUARDO -V, S. MATTEO";"CTIC8AG00P";"I.C. P.S. DI GUARDO - QUASIMODO";"72";"4";"4";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AG02T";"CD P.S.DI GUARDO CATANIA";"CTIC8AG00P";"I.C. P.S. DI GUARDO - QUASIMODO";"313";"25";"16";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AH01L";"VIA MARCHESE DI CASALOTTO";"CTIC8AH00E";"VESPUCCI - CAPUANA PIRANDELLO";"99";"10";"5";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AH02N";"I.C. CAPUANA";"CTIC8AH00E";"VESPUCCI - CAPUANA PIRANDELLO";"110";"9";"5";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8AH03P";"I.C. A. VESPUCCI - VIA AUTERI";"CTIC8AH00E";"VESPUCCI - CAPUANA PIRANDELLO";"205";"9";"10";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8BB018";"C.D.G.VERGA";"CTIC8BB006";"I.C. G. VERGA CATANIA";"293";"22";"14";"Primario";"2021-2022";"CATANIA";"087015"
"087015";"CATANIA";"CATANIA";;"CTEE8BB029";"VIALE A. DE GASPERI";"CTIC8BB006";"I.C. G. VERGA CATANIA";"99";"11";"6";"Primario";"2021-2022";"CATANIA";"087015"
"086006";"CATENANUOVA";"ENNA";;"ENEE82803L";"G. MARCONI";"ENIC82800C";"I. C. FERMI-LEOPARDI";"217";"5";"13";"Primario";"2021-2022";"CENTURIPE";"086007"
"084014";"CATTOLICA ERACLEA";"AGRIGENTO";;"AGEE819035";"VIA ORETO NUOVO";"AGIC819001";"IC - G. GARIBALDI";"107";"2";"5";"Primario";"2021-2022";"REALMONTE";"084032"
"082026";"CEFALA' DIANA";"PALERMO";;"PAEE81702A";"PRIMARIA CEFALA' DIANA";"PAIC817007";"I.C. BEATO DON PINO PUGLISI";"23";"0";"2";"Primario";"2021-2022";"VILLAFRATI";"082080"
"082027";"CEFALU'";"PALERMO";;"PAEE8AJ01A";"I.C. CEFALU' - NICOLA BOTTA";"PAIC8AJ008";"I.C. CEFALU' - NICOLA BOTTA";"323";"7";"16";"Primario";"2021-2022";"CEFALU'";"082027"
"082027";"CEFALU'";"PALERMO";;"PAEE8AJ02B";"SPINUZZA = CEFALU'";"PAIC8AJ008";"I.C. CEFALU' - NICOLA BOTTA";"150";"7";"9";"Primario";"2021-2022";"CEFALU'";"082027"
"086007";"CENTURIPE";"ENNA";;"ENEE82802G";"SCUOLA PRIMARIA G. LEOPARDI";"ENIC82800C";"I. C. FERMI-LEOPARDI";"216";"11";"14";"Primario";"2021-2022";"CENTURIPE";"086007"
"086008";"CERAMI";"ENNA";;"ENEE81801X";"G. VERGA";"ENIC81800T";"I.OMNICOMPR. DON BOSCO-MAJORANA";"67";"2";"5";"Primario";"2021-2022";"TROINA";"086018"
"082028";"CERDA";"PALERMO";;"PAEE82901G";"I.C. CERDA - M.D.F. GIUSEPPE";"PAIC82900D";"I.C. CERDA- L. PIRANDELLO";"229";"10";"13";"Primario";"2021-2022";"CERDA";"082028"
"083017";"CESARO'";"MESSINA";;"MEEE813029";"CESARO' II";"MEIC813006";"IC CAPIZZI - CESARO'";"16";"0";"1";"Primario";"2021-2022";"CAPIZZI";"083008"
"083017";"CESARO'";"MESSINA";;"MEEE81303A";"F. CRISPI";"MEIC813006";"IC CAPIZZI - CESARO'";"55";"1";"4";"Primario";"2021-2022";"CAPIZZI";"083008"
"088002";"CHIARAMONTE GULFI";"RAGUSA";;"RGEE80601N";"FRAZ. ROCCAZZO";"RGIC80600G";"S.A.GUASTELLA";"78";"2";"5";"Primario";"2021-2022";"CHIARAMONTE GULFI";"088002"
"088002";"CHIARAMONTE GULFI";"RAGUSA";;"RGEE80602P";"FRAZ. PIANO ACQUA";"RGIC80600G";"S.A.GUASTELLA";"30";"1";"3";"Primario";"2021-2022";"CHIARAMONTE GULFI";"088002"
"088002";"CHIARAMONTE GULFI";"RAGUSA";;"RGEE80603Q";"CENTRALE - SAN GIUSEPPE";"RGIC80600G";"S.A.GUASTELLA";"200";"2";"11";"Primario";"2021-2022";"CHIARAMONTE GULFI";"088002"
"082029";"CHIUSA SCLAFANI";"PALERMO";;"PAEE82301L";"I.C. CHIUSA S. - G. GENTILE";"PAIC82300E";"I.C. CHIUSA/SCLAFANI- G. REINA";"62";"2";"5";"Primario";"2021-2022";"CHIUSA SCLAFANI";"082029"
"084015";"CIANCIANA";"AGRIGENTO";;"AGEE812029";"DE AMICIS (CIANCIANA)";"AGIC812006";"IC - A. MANZONI";"105";"2";"6";"Primario";"2021-2022";"ALESSANDRIA DELLA ROCCA";"084002"
"082030";"CIMINNA";"PALERMO";;"PAEE812027";"I.C. CIMINNA - DON RIZZO";"PAIC812004";"I.C. CIMINNA -DON RIZZO";"134";"3";"10";"Primario";"2021-2022";"CIMINNA";"082030"
"082031";"CINISI";"PALERMO";;"PAEE846019";"I.C. CINISI - TEN.ANANIA";"PAIC846007";"I.C. CINISI";"447";"17";"23";"Primario";"2021-2022";"CINISI";"082031"
"082031";"CINISI";"PALERMO";;"PAEE84602A";"PLESSO GRAMSCI";"PAIC846007";"I.C. CINISI";"93";"1";"5";"Primario";"2021-2022";"CINISI";"082031"
"082032";"COLLESANO";"PALERMO";;"PAEE8BD01C";"G.DE MARIA";"PAIC8BD00A";"COLLESANO";"133";"4";"10";"Primario";"2021-2022";"COLLESANO";"082032"
"088003";"COMISO";"RAGUSA";;"RGEE01401N";"COMISO CENTRALE";"RGEE01400L";"PRIMO CIRCOLO COMISO DE AMICIS";"399";"18";"20";"Primario";"2021-2022";"COMISO";"088003"
"088003";"COMISO";"RAGUSA";;"RGEE80501T";"G. MAZZINI";"RGIC80500Q";"IST. COMPR. GESUALDO BUFALINO";"109";"8";"7";"Primario";"2021-2022";"COMISO";"088003"
"088003";"COMISO";"RAGUSA";;"RGEE816018";"MONSERRATO";"RGIC816006";"G. VERGA";"262";"9";"12";"Primario";"2021-2022";"COMISO";"088003"
"088003";"COMISO";"RAGUSA";;"RGEE83601D";"SALICETO";"RGIC83600B";"LUIGI PIRANDELLO";"97";"0";"4";"Primario";"2021-2022";"COMISO";"088003"
"088003";"COMISO";"RAGUSA";;"RGEE83602E";"SENIA";"RGIC83600B";"LUIGI PIRANDELLO";"566";"12";"26";"Primario";"2021-2022";"COMISO";"088003"
"084016";"COMITINI";"AGRIGENTO";;"AGEE83204L";"CIRANNI";"AGIC83200B";"IC - A. RONCALLI";"29";"2";"3";"Primario";"2021-2022";"GROTTE";"084018"
"083018";"CONDRO'";"MESSINA";;"MEEE84204B";"CONDRO'";"MEIC842006";"PACE DEL MELA";"15";"0";"1";"Primario";"2021-2022";"PACE DEL MELA";"083064"
"082033";"CONTESSA ENTELLINA";"PALERMO";;"PAEE82305R";"SCUOLA PRIMARIA CONTESSA ENTELLINA";"PAIC82300E";"I.C. CHIUSA/SCLAFANI- G. REINA";"35";"3";"3";"Primario";"2021-2022";"CHIUSA SCLAFANI";"082029"
"082034";"CORLEONE";"PALERMO";;"PAEE8A9011";"D.D. CORLEONE - S. MARIA";"PAIC8A900V";"G. VASI";"401";"22";"24";"Primario";"2021-2022";"CORLEONE";"082034"
"082034";"CORLEONE";"PALERMO";;"PAEE8A9022";"C.F.APRILE";"PAIC8A900V";"G. VASI";"86";"4";"5";"Primario";"2021-2022";"CORLEONE";"082034"
"081007";"CUSTONACI";"TRAPANI";;"TPEE80901T";"PLESSO LOMBARDO RADICE 1";"TPIC80900Q";"I.C. LOMBARDO RADICE E.FERMI";"82";"2";"4";"Primario";"2021-2022";"CUSTONACI";"081007"
"081007";"CUSTONACI";"TRAPANI";;"TPEE80903X";"PLESSO LOMBARDO RADICE 2";"TPIC80900Q";"I.C. LOMBARDO RADICE E.FERMI";"132";"7";"7";"Primario";"2021-2022";"CUSTONACI";"081007"
"085006";"DELIA";"CALTANISSETTA";;"CLEE815025";"GIOVANNI XXIII - DELIA";"CLIC815002";"N. DI MARIA SOMMATINO - DELIA";"167";"5";"10";"Primario";"2021-2022";"SOMMATINO";"085019"
"086009";"ENNA";"ENNA";;"ENEE81501C";"S. CHIARA";"ENIC81500A";"SANTA CHIARA";"126";"4";"8";"Primario";"2021-2022";"ENNA";"086009"
"086009";"ENNA";"ENNA";;"ENEE81502D";"S. ONOFRIO";"ENIC81500A";"SANTA CHIARA";"86";"4";"6";"Primario";"2021-2022";"ENNA";"086009"
"086009";"ENNA";"ENNA";;"ENEE82001X";"PERGUSA";"ENIC82000T";"F. P. NEGLIA - N. SAVARESE";"69";"4";"4";"Primario";"2021-2022";"ENNA";"086009"
"086009";"ENNA";"ENNA";;"ENEE820021";"PLESSO S. LUCIA";"ENIC82000T";"F. P. NEGLIA - N. SAVARESE";"354";"12";"19";"Primario";"2021-2022";"ENNA";"086009"
"086009";"ENNA";"ENNA";;"ENEE82101Q";"E.DE AMICIS";"ENIC82100N";"E.DE AMICIS";"242";"6";"14";"Primario";"2021-2022";"ENNA";"086009"
"086009";"ENNA";"ENNA";;"ENEE82102R";"PLESSO FUNDRISI";"ENIC82100N";"E.DE AMICIS";"93";"4";"6";"Primario";"2021-2022";"ENNA";"086009"
"081008";"ERICE";"TRAPANI";;"TPEE03501B";"PLESSO G. PASCOLI";"TPEE03500A";"I? CIRCOLO G. PASCOLI- ERICE";"228";"10";"12";"Primario";"2021-2022";"ERICE";"081008"
"081008";"ERICE";"TRAPANI";;"TPEE03504E";"PLESSO GEMELLINI ASTA";"TPEE03500A";"I? CIRCOLO G. PASCOLI- ERICE";"341";"12";"17";"Primario";"2021-2022";"ERICE";"081008"
"081008";"ERICE";"TRAPANI";;"TPEE831013";"PLESSO SAN GIULIANO";"TPIC831001";"I. C. G. MAZZINI ERICE";"71";"12";"5";"Primario";"2021-2022";"ERICE";"081008"
"081008";"ERICE";"TRAPANI";;"TPEE831024";"PLESSO GIUSEPPE MAZZINI";"TPIC831001";"I. C. G. MAZZINI ERICE";"421";"16";"22";"Primario";"2021-2022";"ERICE";"081008"
"081008";"ERICE";"TRAPANI";;"TPEE83501A";"PLESSO WALT DISNEY";"TPIC835008";"I.C. G.PAGOTO ERICE";"174";"10";"10";"Primario";"2021-2022";"ERICE";"081008"
"081008";"ERICE";"TRAPANI";;"TPEE83502B";"PLESSO GIOVANNI PAOLO II";"TPIC835008";"I.C. G.PAGOTO ERICE";"150";"3";"9";"Primario";"2021-2022";"ERICE";"081008"
"081008";"ERICE";"TRAPANI";;"TPEE83503C";"PLESSO SAN G. BOSCO NAPOLA";"TPIC835008";"I.C. G.PAGOTO ERICE";"42";"3";"4";"Primario";"2021-2022";"ERICE";"081008"
"083019";"FALCONE";"MESSINA";;"MEEE857056";"SCUOLA PRIMARIA FALCONE -CENTRO";"MEIC85700X";"TERME VIGLIATORE";"74";"3";"6";"Primario";"2021-2022";"TERME VIGLIATORE";"083106"
"083019";"FALCONE";"MESSINA";;"MEEE857067";"SCUOLA PRIMARIA BELVEDERE";"MEIC85700X";"TERME VIGLIATORE";"25";"0";"2";"Primario";"2021-2022";"TERME VIGLIATORE";"083106"
"084017";"FAVARA";"AGRIGENTO";;"AGEE83101N";"A. MANZONI";"AGIC83100G";"IC - V. BRANCATI";"98";"2";"5";"Primario";"2021-2022";"FAVARA";"084017"
"084017";"FAVARA";"AGRIGENTO";;"AGEE83102P";"ISTITUTO COMPRENSIVO BRANCATI";"AGIC83100G";"IC - V. BRANCATI";"144";"2";"8";"Primario";"2021-2022";"FAVARA";"084017"
"084017";"FAVARA";"AGRIGENTO";;"AGEE83103Q";"DON BOSCO";"AGIC83100G";"IC - V. BRANCATI";"38";"5";"3";"Primario";"2021-2022";"FAVARA";"084017"
"084017";"FAVARA";"AGRIGENTO";;"AGEE83104R";"DOMENICO SAVIO";"AGIC83100G";"IC - V. BRANCATI";"88";"9";"5";"Primario";"2021-2022";"FAVARA";"084017"
"084017";"FAVARA";"AGRIGENTO";;"AGEE85801N";"VIA BERSAGLIERE URSO";"AGIC85800G";"IC - BERSAGLIERE URSO - MENDOLA";"147";"11";"9";"Primario";"2021-2022";"FAVARA";"084017"
"084017";"FAVARA";"AGRIGENTO";;"AGEE85804R";"L. PIRANDELLO";"AGIC85800G";"IC - BERSAGLIERE URSO - MENDOLA";"143";"3";"9";"Primario";"2021-2022";"FAVARA";"084017"
"084017";"FAVARA";"AGRIGENTO";;"AGEE85901D";"GAETANO GUARINO";"AGIC85900B";"IC - GAETANO GUARINO";"296";"10";"17";"Primario";"2021-2022";"FAVARA";"084017"
"084017";"FAVARA";"AGRIGENTO";;"AGEE86101D";"FALCONE BORSELLINO";"AGIC86100B";"IC - FALCONE - BORSELLINO";"348";"11";"19";"Primario";"2021-2022";"FAVARA";"084017"
"084017";"FAVARA";"AGRIGENTO";;"AGEE86102E";"MONS.GIUDICE";"AGIC86100B";"IC - FALCONE - BORSELLINO";"179";"2";"9";"Primario";"2021-2022";"FAVARA";"084017"
"081009";"FAVIGNANA";"TRAPANI";;"TPEE80501E";"PLESSO E.DE AMICIS MARETTIMO";"TPIC80500C";"I.C. A. RALLO EX B.MINEO";"4";"0";"1";"Primario";"2021-2022";"FAVIGNANA";"081009"
"081009";"FAVIGNANA";"TRAPANI";;"TPEE80504N";"PLESSO E. PESTALOZZI";"TPIC80500C";"I.C. A. RALLO EX B.MINEO";"88";"7";"5";"Primario";"2021-2022";"FAVIGNANA";"081009"
"089008";"FERLA";"SIRACUSA";;"SREE86401E";"PRIMARIA FERLA";"SRIC86400C";"I.C. VALLE DELL'ANAPO";"97";"4";"6";"Primario";"2021-2022";"FERLA";"089008"
"082035";"FICARAZZI";"PALERMO";;"PAEE8A501N";"I.C. FICARAZZI - TESAURO";"PAIC8A500G";"I.C. ROSARIO LIVATINO";"438";"27";"25";"Primario";"2021-2022";"FICARAZZI";"082035"
"082035";"FICARAZZI";"PALERMO";;"PAEE8A502P";"VIA DELL'ARIA";"PAIC8A500G";"I.C. ROSARIO LIVATINO";"274";"15";"15";"Primario";"2021-2022";"FICARAZZI";"082035"
"083020";"FICARRA";"MESSINA";;"MEEE83905L";"FICARRA";"MEIC83900A";"BROLO";"23";"1";"2";"Primario";"2021-2022";"BROLO";"083007"
"083021";"FIUMEDINISI";"MESSINA";;"MEEE83703V";"FIUMEDINISI";"MEIC83700P";"ALI' TERME";"60";"1";"5";"Primario";"2021-2022";"ALI' TERME";"083003"
"087016";"FIUMEFREDDO DI SICILIA";"CATANIA";;"CTEE82601G";"CASTELLO";"CTIC82600D";"I.C. VERGA FIUMEFREDDO";"71";"3";"4";"Primario";"2021-2022";"FIUMEFREDDO DI SICILIA";"087016"
"087016";"FIUMEFREDDO DI SICILIA";"CATANIA";;"CTEE82603N";"LIBERTO";"CTIC82600D";"I.C. VERGA FIUMEFREDDO";"95";"3";"5";"Primario";"2021-2022";"FIUMEFREDDO DI SICILIA";"087016"
"087016";"FIUMEFREDDO DI SICILIA";"CATANIA";;"CTEE82604P";"PLESSO PIEMONTE";"CTIC82600D";"I.C. VERGA FIUMEFREDDO";"165";"6";"10";"Primario";"2021-2022";"FIUMEFREDDO DI SICILIA";"087016"
"087016";"FIUMEFREDDO DI SICILIA";"CATANIA";;"CTEE82605Q";"FEUDO GRANDE";"CTIC82600D";"I.C. VERGA FIUMEFREDDO";"67";"2";"5";"Primario";"2021-2022";"FIUMEFREDDO DI SICILIA";"087016"
"083022";"FLORESTA";"MESSINA";;"MEEE83808X";"FLORESTA CENTRO";"MEIC83800E";"CASTELL'UMBERTO";"8";"0";"1";"Primario";"2021-2022";"CASTELL'UMBERTO";"083014"
"089009";"FLORIDIA";"SIRACUSA";;"SREE82101L";"I I.C. E. DE AMICIS FLORIDIA";"SRIC82100E";"I I.C. E. DE AMICIS FLORIDIA";"176";"9";"9";"Primario";"2021-2022";"FLORIDIA";"089009"
"089009";"FLORIDIA";"SIRACUSA";;"SREE82102N";"I I.C. E. DE AMICIS FLORIDIA";"SRIC82100E";"I I.C. E. DE AMICIS FLORIDIA";"142";"11";"8";"Primario";"2021-2022";"FLORIDIA";"089009"
"089009";"FLORIDIA";"SIRACUSA";;"SREE82103P";"I I.C E. DE AMICIS FLORIDIA";"SRIC82100E";"I I.C. E. DE AMICIS FLORIDIA";"101";"4";"5";"Primario";"2021-2022";"FLORIDIA";"089009"
"089009";"FLORIDIA";"SIRACUSA";;"SREE824014";"IV I.C. QUASIMODO FLORIDIA";"SRIC824002";"IV I.C. QUASIMODO FLORIDIA";"346";"30";"19";"Primario";"2021-2022";"FLORIDIA";"089009"
"089009";"FLORIDIA";"SIRACUSA";;"SREE82501X";"II I.C. A. VOLTA FLORIDIA";"SRIC82500T";"II I.C. A. VOLTA FLORIDIA";"347";"20";"18";"Primario";"2021-2022";"FLORIDIA";"089009"
"083023";"FONDACHELLI-FANTINA";"MESSINA";;"MEEE81603T";"FONDACHELLI FANTINA";"MEIC81600N";"I. C. NOVARA DI SICILIA";"11";"0";"1";"Primario";"2021-2022";"NOVARA DI SICILIA";"083062"
"083023";"FONDACHELLI-FANTINA";"MESSINA";;"MEEE81604V";"FRAZ. RUZZOLINO";"MEIC81600N";"I. C. NOVARA DI SICILIA";"6";"1";"1";"Primario";"2021-2022";"NOVARA DI SICILIA";"083062"
"083024";"FORZA D'AGRO'";"MESSINA";;"MEEE886056";"FORZA D'AGRO'";"MEIC88600X";"N.1FOSCOLOTAORMINA";"20";"2";"2";"Primario";"2021-2022";"TAORMINA";"083097"
"083025";"FRANCAVILLA DI SICILIA";"MESSINA";;"MEEE835026";"FRANCAVILLA DI SICILIA";"MEIC835003";"FRANCAVILLA SICILIA";"154";"5";"9";"Primario";"2021-2022";"FRANCAVILLA DI SICILIA";"083025"
"089010";"FRANCOFONTE";"SIRACUSA";;"SREE86301P";"II IC D. ALIGHIERI FRANCOFONTE";"SRIC86300L";"II IC D. ALIGHIERI FRANCOFONTE";"310";"14";"15";"Primario";"2021-2022";"FRANCOFONTE";"089010"
"089010";"FRANCOFONTE";"SIRACUSA";;"SREE86302Q";"II IC D. ALIGHIERI FRANCOFONTE";"SRIC86300L";"II IC D. ALIGHIERI FRANCOFONTE";"223";"7";"11";"Primario";"2021-2022";"FRANCOFONTE";"089010"
"083026";"FRAZZANO'";"MESSINA";;"MEEE84703D";"FRAZZANO' PRIMARIA";"MEIC847009";"LONGI";"12";"0";"1";"Primario";"2021-2022";"LONGI";"083042"
"083027";"FURCI SICULO";"MESSINA";;"MEEE83201N";"FURCI SICULO";"MEIC83200G";"I.C. ROCCALUMERA";"114";"2";"8";"Primario";"2021-2022";"ROCCALUMERA";"083072"
"083028";"FURNARI";"MESSINA";;"MEEE816061";"FRAZ. TONNARELLA";"MEIC81600N";"I. C. NOVARA DI SICILIA";"57";"3";"5";"Primario";"2021-2022";"NOVARA DI SICILIA";"083062"
"083028";"FURNARI";"MESSINA";;"MEEE816072";"SC. ELEM.PROF.F.CONTI-FURNARI";"MEIC81600N";"I. C. NOVARA DI SICILIA";"105";"8";"6";"Primario";"2021-2022";"NOVARA DI SICILIA";"083062"
"083029";"GAGGI";"MESSINA";;"MEEE83301D";"R. LAMBRUSCHINI - GAGGI";"MEIC83300B";"I.C. GIARDINI";"137";"9";"8";"Primario";"2021-2022";"GIARDINI-NAXOS";"083032"
"086010";"GAGLIANO CASTELFERRATO";"ENNA";;"ENEE818021";"E. DE AMICIS";"ENIC81800T";"I.OMNICOMPR. DON BOSCO-MAJORANA";"108";"6";"10";"Primario";"2021-2022";"TROINA";"086018"
"083030";"GALATI MAMERTINO";"MESSINA";;"MEEE84705G";"FRAZ. S.BASILIO";"MEIC847009";"LONGI";"14";"2";"2";"Primario";"2021-2022";"LONGI";"083042"
"083030";"GALATI MAMERTINO";"MESSINA";;"MEEE84706L";"GALATI MAMERTINO";"MEIC847009";"LONGI";"46";"2";"4";"Primario";"2021-2022";"LONGI";"083042"
"083031";"GALLODORO";"MESSINA";;"MEEE886067";"CARMELA LO TURCO";"MEIC88600X";"N.1FOSCOLOTAORMINA";"11";"0";"1";"Primario";"2021-2022";"TAORMINA";"083097"
"082036";"GANGI";"PALERMO";;"PAEE84501D";"I.C. GANGI - G. VAZZANO";"PAIC84500B";"I.C. GANGI - F. P. POLIZZANO";"66";"3";"4";"Primario";"2021-2022";"GANGI";"082036"
"082036";"GANGI";"PALERMO";;"PAEE84502E";"SANTA MARIA";"PAIC84500B";"I.C. GANGI - F. P. POLIZZANO";"46";"1";"3";"Primario";"2021-2022";"GANGI";"082036"
"082036";"GANGI";"PALERMO";;"PAEE84503G";"DON BOSCO";"PAIC84500B";"I.C. GANGI - F. P. POLIZZANO";"121";"3";"7";"Primario";"2021-2022";"GANGI";"082036"
"085007";"GELA";"CALTANISSETTA";;"CLEE01101T";"E. SOLITO";"CLEE01100R";"GELA II";"538";"28";"29";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE014019";"LUIGI CAPUANA";"CLEE014008";"GELA IV";"409";"26";"21";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE01402A";"EX ISTITUTO MAGISTRALE";"CLEE014008";"GELA IV";"216";"3";"10";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE01403B";"AZ. OSPED. VITTORIO EMANUELE";"CLEE014008";"GELA IV";"17";"0";"1";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE810011";"GIOVANNI XXIII";"CLIC81000V";"S. QUASIMODO - GELA -";"145";"3";"9";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE810022";"SALONICCO";"CLIC81000V";"S. QUASIMODO - GELA -";"109";"9";"6";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE81101R";"GIANNI RODARI";"CLIC81100P";"I.C. G.VERGA - GELA";"150";"9";"9";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE81102T";"G. VERGA - VIA SALONICCO N. 2";"CLIC81100P";"I.C. G.VERGA - GELA";"220";"10";"12";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE823013";"SAN SEBASTIANOGELA";"CLIC823001";"I. C. DON BOSCO - GELA";"205";"9";"11";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE823024";"FALCONE-BORSELLINOGELA";"CLIC823001";"I. C. DON BOSCO - GELA";"90";"6";"5";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE823035";"GIUSEPPE LOMBARDO RADICE";"CLIC823001";"I. C. DON BOSCO - GELA";"185";"10";"10";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE824042";"PRIMARIA E. MATTEI";"CLIC82400R";"GELA E BUTERA";"75";"5";"5";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE824064";"NELSON MANDELA";"CLIC82400R";"GELA E BUTERA";"172";"3";"10";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE82701A";"PLESSO P. E. GIUDICI GELA I";"CLIC827008";"SAN FRANCESCO GELA";"204";"15";"11";"Primario";"2021-2022";"GELA";"085007"
"085007";"GELA";"CALTANISSETTA";;"CLEE82703C";"S. M. DI GESU'";"CLIC827008";"SAN FRANCESCO GELA";"106";"9";"6";"Primario";"2021-2022";"GELA";"085007"
