CodiceScuola,Alunni,Hand,Classi,annoScolastico
CTEE82001L,212,18,12,2021-2022
PAEE850022,148,7,10,2021-2022
AGEE81203A,98,5,6,2021-2022
PAEE830083,21,2,2,2021-2022
PAEE839016,183,5,10,2021-2022
PAEE830072,24,0,2,2021-2022
PAEE81401T,227,7,12,2021-2022
MEEE83901C,137,3,9,2021-2022
MEEE83902D,155,4,11,2021-2022
CTEE04701N,238,20,14,2021-2022
CTEE04801D,170,3,10,2021-2022
CTEE04802E,108,4,7,2021-2022
CTEE04807Q,295,12,16,2021-2022
SREE86402G,51,1,4,2021-2022
AGEE826016,76,1,5,2021-2022
SREE86403L,19,0,2,2021-2022
TPEE81404C,125,8,8,2021-2022
CLEE82401V,67,1,5,2021-2022
CLEE82402X,89,4,5,2021-2022
PAEE8AF01D,317,5,18,2021-2022
PAEE8AF02E,16,1,2,2021-2022
AGEE85703X,31,2,2,2021-2022
ENEE81503E,134,10,10,2021-2022
CTEE82101C,39,2,3,2021-2022
CTEE82103E,142,10,8,2021-2022
TPEE81301D,178,4,10,2021-2022
TPEE81302E,53,3,5,2021-2022
AGEE82605A,78,1,5,2021-2022
AGEE82606B,9,1,1,2021-2022
CTEE822018,208,17,11,2021-2022
CTEE822029,44,3,2,2021-2022
CTEE82203A,59,4,3,2021-2022
CTEE82204B,19,2,2,2021-2022
CTEE823025,161,9,10,2021-2022
CTEE823036,30,0,1,2021-2022
CTEE823047,86,1,5,2021-2022
CTEE82502R,38,4,2,2021-2022
CTEE82503T,148,17,8,2021-2022
CTEE82505X,96,13,5,2021-2022
CTEE825061,79,8,5,2021-2022
CTEE825072,51,4,4,2021-2022
CTEE825083,88,3,5,2021-2022
CTEE8AX01R,131,7,8,2021-2022
CTEE8AX03V,229,20,12,2021-2022
CLEE00106C,463,20,23,2021-2022
CLEE82101B,245,22,14,2021-2022
CLEE822017,82,10,5,2021-2022
CLEE822028,48,3,5,2021-2022
CLEE822039,73,9,5,2021-2022
CLEE82204A,79,17,5,2021-2022
CLEE82501P,86,11,6,2021-2022
CLEE82502Q,243,14,15,2021-2022
CLEE828016,575,30,27,2021-2022
CLEE830016,268,10,14,2021-2022
CLEE830027,278,8,15,2021-2022
PAEE819011,123,5,10,2021-2022
AGEE85302G,53,1,4,2021-2022
AGEE827023,57,2,5,2021-2022
AGEE827034,87,5,5,2021-2022
AGEE827045,145,3,10,2021-2022
AGEE82801T,79,4,5,2021-2022
AGEE82802V,227,4,11,2021-2022
AGEE82803X,100,6,6,2021-2022
TPEE81801L,39,3,3,2021-2022
TPEE81802N,164,13,9,2021-2022
TPEE81803P,207,15,11,2021-2022
PAEE81705D,16,2,2,2021-2022
PAEE81001E,206,14,12,2021-2022
PAEE81003L,71,7,5,2021-2022
PAEE850011,54,2,5,2021-2022
CLEE81803N,83,2,6,2021-2022
PAEE84001A,154,4,10,2021-2022
CTEE853032,220,8,12,2021-2022
AGEE01102E,256,11,14,2021-2022
AGEE01104L,325,8,17,2021-2022
AGEE81502R,94,10,5,2021-2022
AGEE82902P,350,12,18,2021-2022
AGEE82903Q,121,14,7,2021-2022
AGEE83001T,426,23,23,2021-2022
SREE816015,137,2,8,2021-2022
SREE816026,134,8,8,2021-2022
PAEE063014,247,9,14,2021-2022
PAEE063047,268,16,16,2021-2022
PAEE8A401T,162,6,9,2021-2022
MEEE813018,139,5,10,2021-2022
MEEE830012,101,8,7,2021-2022
MEEE830023,39,5,3,2021-2022
MEEE830034,49,4,4,2021-2022
MEEE830056,114,3,7,2021-2022
MEEE834019,22,0,2,2021-2022
MEEE83402A,246,5,15,2021-2022
MEEE877039,167,4,10,2021-2022
PAEE86001G,57,5,3,2021-2022
PAEE86003N,196,13,9,2021-2022
PAEE86004P,200,6,10,2021-2022
PAEE86005Q,141,9,7,2021-2022
PAEE86101B,461,28,25,2021-2022
PAEE8BC01L,253,33,14,2021-2022
PAEE8BC02N,206,7,11,2021-2022
SREE81901L,149,3,8,2021-2022
SREE81902N,30,0,2,2021-2022
SREE81904Q,213,13,12,2021-2022
SREE823018,269,8,12,2021-2022
SREE823029,77,3,4,2021-2022
MEEE856038,66,0,4,2021-2022
MEEE856049,33,0,3,2021-2022
SREE86405P,13,1,1,2021-2022
CTEE80301V,69,6,4,2021-2022
CTEE803042,91,6,6,2021-2022
MEEE814069,35,1,4,2021-2022
PAEE8AH015,146,3,11,2021-2022
PAEE8AH026,144,3,11,2021-2022
PAEE10304C,253,7,12,2021-2022
PAEE10305D,102,1,6,2021-2022
PAEE842023,246,13,15,2021-2022
MEEE83801L,51,1,5,2021-2022
MEEE83802N,12,0,1,2021-2022
MEEE83803P,31,0,3,2021-2022
TPEE814019,117,6,7,2021-2022
TPEE81402A,155,5,9,2021-2022
TPEE81904G,114,1,6,2021-2022
TPEE81906N,117,10,7,2021-2022
TPEE81907P,109,4,6,2021-2022
PAEE820015,40,0,4,2021-2022
PAEE820026,56,1,5,2021-2022
MEEE886012,18,0,1,2021-2022
AGEE85201P,135,8,9,2021-2022
AGEE85202Q,140,2,8,2021-2022
TPEE02701C,435,38,25,2021-2022
TPEE02702D,92,13,6,2021-2022
TPEE815015,80,11,6,2021-2022
TPEE815026,182,6,10,2021-2022
TPEE815037,25,1,3,2021-2022
TPEE84101N,188,18,10,2021-2022
TPEE84102P,202,9,11,2021-2022
CTEE832031,60,1,5,2021-2022
CTEE832042,32,1,2,2021-2022
AGEE81501Q,121,9,6,2021-2022
PAEE81603G,73,1,5,2021-2022
MEEE881053,44,1,4,2021-2022
MEEE881075,24,1,2,2021-2022
CTEE008013,434,21,20,2021-2022
