CodiceScuola,Alunni,Hand,Classi,annoScolastico
MEEE873032,575,25,27,2021-2022
MEEE88203R,247,17,14,2021-2022
MEEE88701T,128,8,8,2021-2022
MEEE88702V,259,14,15,2021-2022
MEEE893015,230,19,14,2021-2022
MEEE894011,228,22,15,2021-2022
MEEE89601L,428,20,24,2021-2022
MEEE89701C,171,17,11,2021-2022
MEEE89702D,72,3,5,2021-2022
MEEE89703E,94,8,6,2021-2022
MEEE8AC018,59,2,4,2021-2022
MEEE8AC029,34,3,3,2021-2022
MEEE8AC03A,19,1,2,2021-2022
MEEE8AC04B,29,2,2,2021-2022
MEEE8AC05C,31,3,3,2021-2022
MEEE8AC06D,121,1,6,2021-2022
MEEE8AC07E,112,4,5,2021-2022
MEEE8AD014,97,6,6,2021-2022
MEEE8AD025,102,3,5,2021-2022
MEEE8AD047,45,4,4,2021-2022
MEEE8AD058,65,2,5,2021-2022
MEEE8AD069,45,2,4,2021-2022
MEEE8AD07A,17,4,2,2021-2022
MEEE8AD08B,4,0,1,2021-2022
MEEE8AD09C,46,2,4,2021-2022
MEEE8AD10E,43,6,5,2021-2022
MEEE8AE01X,168,6,11,2021-2022
MEEE8AE021,200,8,12,2021-2022
MEEE8AE032,118,10,7,2021-2022
PAEE81704C,108,3,7,2021-2022
MEEE88301E,52,2,4,2021-2022
MEEE88302G,33,1,3,2021-2022
MEEE88304N,241,10,14,2021-2022
MEEE8AA02N,274,10,15,2021-2022
MEEE8AA03P,220,10,11,2021-2022
MEEE8AB01C,139,13,9,2021-2022
MEEE8AB02D,180,5,9,2021-2022
MEEE8AB03E,31,1,2,2021-2022
MEEE8AB04G,35,1,3,2021-2022
CLEE82003N,80,0,5,2021-2022
CTEE83501A,162,13,10,2021-2022
CTEE83502B,72,5,5,2021-2022
MEEE88506B,31,2,3,2021-2022
CTEE860046,32,3,2,2021-2022
CTEE81101T,74,11,5,2021-2022
CTEE81103X,93,7,6,2021-2022
CTEE80901T,157,15,10,2021-2022
MEEE84702C,36,3,4,2021-2022
PAEE077012,416,17,22,2021-2022
PAEE077034,60,1,4,2021-2022
PAEE077067,65,1,4,2021-2022
PAEE077078,33,2,2,2021-2022
PAEE117017,121,12,8,2021-2022
PAEE117028,277,20,14,2021-2022
PAEE117039,328,21,16,2021-2022
CTEE836016,506,20,21,2021-2022
CTEE88201X,359,26,18,2021-2022
CTEE882021,34,2,1,2021-2022
CTEE88301Q,264,38,13,2021-2022
CTEE88801V,178,12,10,2021-2022
CTEE88802X,395,19,17,2021-2022
CTEE88901P,418,29,20,2021-2022
CTEE88902Q,101,7,5,2021-2022
CTEE89001V,509,19,25,2021-2022
MEEE84601G,88,3,6,2021-2022
MEEE84602L,83,5,6,2021-2022
RGEE02101R,349,14,17,2021-2022
RGEE809015,144,9,8,2021-2022
RGEE809026,113,2,6,2021-2022
RGEE809048,145,2,7,2021-2022
RGEE809059,104,2,5,2021-2022
RGEE810019,72,5,4,2021-2022
RGEE81002A,62,3,4,2021-2022
RGEE81003B,31,3,2,2021-2022
RGEE81005D,61,1,5,2021-2022
RGEE81007G,97,0,5,2021-2022
RGEE825013,270,6,13,2021-2022
RGEE825024,253,6,12,2021-2022
RGEE825035,105,5,6,2021-2022
RGEE825046,20,1,1,2021-2022
RGEE825057,67,1,3,2021-2022
RGEE825068,95,4,5,2021-2022
RGEE837019,248,14,13,2021-2022
MEEE835059,41,0,3,2021-2022
MEEE87604E,41,4,4,2021-2022
MEEE87605G,51,2,5,2021-2022
MEEE886089,6,0,1,2021-2022
PAEE84003C,45,0,4,2021-2022
PAEE85801G,205,3,12,2021-2022
PAEE85802L,153,9,10,2021-2022
PAEE85804P,77,3,6,2021-2022
PAEE85902C,465,29,26,2021-2022
PAEE85903D,31,2,2,2021-2022
PAEE86402X,66,6,5,2021-2022
PAEE864031,187,4,10,2021-2022
PAEE8A3012,527,25,26,2021-2022
MEEE849057,57,0,5,2021-2022
MEEE87809B,42,2,4,2021-2022
AGEE819046,99,3,6,2021-2022
CLEE82004P,37,3,3,2021-2022
PAEE862028,227,3,12,2021-2022
PAEE825018,88,3,6,2021-2022
RGEE80103L,79,1,5,2021-2022
AGEE80802N,92,2,5,2021-2022
MEEE835015,26,0,2,2021-2022
MEEE814058,10,0,1,2021-2022
CTEE837012,542,25,25,2021-2022
CLEE81801G,238,12,15,2021-2022
CLEE81901B,87,3,6,2021-2022
CLEE81902C,128,5,7,2021-2022
AGEE85301E,240,11,13,2021-2022
MEEE83403B,60,5,5,2021-2022
MEEE83404C,26,2,2,2021-2022
CTEE83901N,202,7,10,2021-2022
CTEE83903Q,108,3,5,2021-2022
ENEE062013,52,6,4,2021-2022
ENEE06214N,107,2,8,2021-2022
ENEE062223,94,4,6,2021-2022
ENEE82701P,27,2,2,2021-2022
ENEE82702Q,16,1,1,2021-2022
ENEE82703R,175,6,14,2021-2022
CLEE02101C,325,9,16,2021-2022
CLEE02103E,78,1,5,2021-2022
CLEE031013,180,5,9,2021-2022
CLEE031024,161,5,8,2021-2022
CLEE829012,125,0,7,2021-2022
CLEE829023,60,2,3,2021-2022
CLEE829034,226,7,10,2021-2022
ENEE80503X,78,5,6,2021-2022
MEEE837062,142,8,9,2021-2022
SREE85601G,294,16,17,2021-2022
SREE858017,376,32,20,2021-2022
SREE859013,233,6,13,2021-2022
SREE859024,16,0,1,2021-2022
SREE859035,12,1,1,2021-2022
MEEE81601Q,29,3,3,2021-2022
MEEE857078,72,3,5,2021-2022
MEEE842018,152,5,10,2021-2022
MEEE842029,98,6,7,2021-2022
TPEE83301P,87,4,5,2021-2022
TPEE83303R,176,12,9,2021-2022
TPEE83304T,120,7,6,2021-2022
SREE84101T,38,2,2,2021-2022
SREE84102V,394,18,20,2021-2022
SREE853014,397,25,21,2021-2022
SREE85501Q,172,9,10,2021-2022
SREE85502R,51,1,3,2021-2022
MEEE83206V,19,0,2,2021-2022
CTEE84101N,211,18,10,2021-2022
CTEE84103Q,183,17,10,2021-2022
CTEE8A5015,77,17,5,2021-2022
CTEE8A5026,250,26,14,2021-2022
CTEE8A5048,133,11,7,2021-2022
PAEE88202D,48,1,4,2021-2022
SREE85401X,140,10,8,2021-2022
SREE854032,228,8,12,2021-2022
PAEE00301C,198,11,12,2021-2022
PAEE00302D,168,9,10,2021-2022
PAEE012017,103,4,6,2021-2022
PAEE01205B,177,7,9,2021-2022
PAEE01207D,167,9,9,2021-2022
PAEE013046,445,19,22,2021-2022
PAEE013057,233,9,10,2021-2022
PAEE013068,71,0,4,2021-2022
PAEE01703C,298,22,16,2021-2022
PAEE01705E,212,15,11,2021-2022
PAEE019012,362,21,18,2021-2022
PAEE019034,256,15,13,2021-2022
PAEE020016,409,18,20,2021-2022
PAEE020027,426,20,20,2021-2022
PAEE02901L,543,16,25,2021-2022
PAEE02902N,231,8,12,2021-2022
PAEE03103P,200,6,10,2021-2022
PAEE03104Q,424,14,20,2021-2022
PAEE03201C,61,1,3,2021-2022
PAEE03206N,170,6,9,2021-2022
PAEE03207P,163,12,9,2021-2022
PAEE033018,95,4,5,2021-2022
PAEE033029,127,4,7,2021-2022
PAEE03304B,194,7,10,2021-2022
PAEE034058,372,20,19,2021-2022
PAEE034069,115,2,6,2021-2022
PAEE03407A,208,7,10,2021-2022
PAEE03408B,101,5,5,2021-2022
PAEE03701G,361,17,20,2021-2022
PAEE03703N,89,2,5,2021-2022
PAEE03709X,64,5,4,2021-2022
PAEE039017,378,21,21,2021-2022
PAEE039039,100,3,5,2021-2022
PAEE04001B,167,5,9,2021-2022
PAEE04007N,218,9,12,2021-2022
PAEE04008P,65,4,4,2021-2022
PAEE042013,329,17,17,2021-2022
PAEE042024,194,9,10,2021-2022
PAEE813012,171,8,10,2021-2022
PAEE813023,291,21,16,2021-2022
PAEE847015,189,6,10,2021-2022
PAEE847026,150,12,9,2021-2022
PAEE848011,114,4,9,2021-2022
PAEE848022,184,5,13,2021-2022
PAEE85101R,95,7,7,2021-2022
PAEE85102T,251,21,15,2021-2022
PAEE85201L,161,14,11,2021-2022
PAEE85202N,104,5,6,2021-2022
PAEE85301C,217,3,11,2021-2022
PAEE85303E,158,6,9,2021-2022
PAEE854029,232,16,13,2021-2022
PAEE85406D,71,4,5,2021-2022
PAEE85407E,187,9,11,2021-2022
PAEE855014,213,6,12,2021-2022
PAEE855025,115,4,8,2021-2022
PAEE85601X,348,18,19,2021-2022
PAEE869012,341,27,20,2021-2022
PAEE870016,322,29,20,2021-2022
PAEE871012,279,22,17,2021-2022
PAEE871023,71,8,5,2021-2022
PAEE87201T,107,4,5,2021-2022
PAEE87202V,109,5,5,2021-2022
PAEE87203X,135,10,8,2021-2022
PAEE87302P,278,10,16,2021-2022
PAEE87401D,319,22,19,2021-2022
PAEE877011,221,4,12,2021-2022
PAEE87801R,265,15,12,2021-2022
PAEE87901L,148,8,9,2021-2022
PAEE87902N,101,8,6,2021-2022
PAEE87903P,174,15,10,2021-2022
PAEE89001B,160,13,10,2021-2022
PAEE89002C,372,17,20,2021-2022
PAEE892013,63,3,5,2021-2022
PAEE892024,119,5,6,2021-2022
PAEE892035,424,20,20,2021-2022
PAEE892046,106,5,5,2021-2022
PAEE892057,209,4,10,2021-2022
PAEE89301V,158,18,10,2021-2022
PAEE89401P,263,3,10,2021-2022
PAEE89501E,395,4,19,2021-2022
PAEE897016,256,18,17,2021-2022
PAEE898012,158,4,9,2021-2022
PAEE898034,204,9,11,2021-2022
PAEE89901T,501,33,28,2021-2022
PAEE8A001E,187,12,12,2021-2022
PAEE8A002G,115,9,7,2021-2022
PAEE8A003L,134,11,8,2021-2022
PAEE8A101A,414,22,22,2021-2022
PAEE8A102B,199,15,12,2021-2022
PAEE8A2016,165,10,10,2021-2022
PAEE8AA01A,106,9,8,2021-2022
PAEE8AA02B,65,1,5,2021-2022
PAEE8AA03C,262,19,15,2021-2022
PAEE8AB016,166,13,11,2021-2022
PAEE8AB038,140,13,10,2021-2022
PAEE8AC012,355,11,21,2021-2022
PAEE8AC023,184,8,10,2021-2022
PAEE8AD01T,234,13,13,2021-2022
PAEE8AD02V,29,1,2,2021-2022
PAEE8AD03X,133,7,9,2021-2022
PAEE8AD041,95,0,4,2021-2022
PAEE8AD052,21,0,1,2021-2022
PAEE8AD063,137,7,9,2021-2022
PAEE8AK016,467,9,25,2021-2022
PAEE8AL012,620,17,28,2021-2022
PAEE8AM01T,473,12,23,2021-2022
PAEE8AM03X,155,6,10,2021-2022
PAEE8AN01N,352,8,17,2021-2022
PAEE8AP019,478,7,22,2021-2022
PAEE8AQ015,119,5,6,2021-2022
PAEE8AQ026,85,2,5,2021-2022
PAEE8AQ037,389,11,20,2021-2022
PAEE8AR011,154,4,10,2021-2022
PAEE8AR033,27,0,2,2021-2022
PAEE8AR044,86,1,5,2021-2022
PAEE8AR055,92,3,5,2021-2022
PAEE8AR066,231,5,11,2021-2022
PAEE8AS027,551,23,27,2021-2022
PAEE8AT012,295,22,17,2021-2022
PAEE8AT023,78,4,5,2021-2022
PAEE8AT034,135,9,7,2021-2022
PAEE8AU01T,175,5,10,2021-2022
PAEE8AU03X,288,12,16,2021-2022
PAEE8AV01N,220,10,13,2021-2022
PAEE8AV02P,103,6,7,2021-2022
PAEE8AX019,169,11,10,2021-2022
PAEE8AX03B,112,6,6,2021-2022
PAEE8AX04C,193,12,11,2021-2022
PAEE8AY015,212,6,12,2021-2022
PAEE8AY026,166,10,11,2021-2022
PAEE8AY037,102,8,6,2021-2022
PAEE8AZ011,70,6,4,2021-2022
PAEE8AZ022,243,26,15,2021-2022
PAEE8BB01R,176,3,9,2021-2022
PAEE8BB02T,213,9,11,2021-2022
PAEE8BB03V,174,12,10,2021-2022
AGEE83802D,98,4,6,2021-2022
AGEE83803E,29,4,3,2021-2022
AGEE83804G,138,5,8,2021-2022
AGEE83806N,94,4,5,2021-2022
AGEE84704A,27,1,2,2021-2022
AGEE84705B,167,3,11,2021-2022
AGEE84706C,208,12,12,2021-2022
AGEE84708E,64,3,4,2021-2022
AGEE850013,233,5,12,2021-2022
TPEE066013,194,15,11,2021-2022
TPEE066024,66,6,5,2021-2022
TPEE066068,43,0,3,2021-2022
TPEE82401X,117,5,7,2021-2022
TPEE824021,157,7,10,2021-2022
TPEE824032,99,11,6,2021-2022
PAEE81403X,71,8,5,2021-2022
PAEE88002T,136,9,8,2021-2022
PAEE88003V,240,6,14,2021-2022
PAEE8A7019,349,17,19,2021-2022
PAEE8A8015,271,7,14,2021-2022
PAEE8A8026,192,9,11,2021-2022
PAEE8AW02E,354,23,20,2021-2022
CTEE06701V,511,25,23,2021-2022
CTEE067042,70,5,5,2021-2022
CTEE06801P,337,24,17,2021-2022
CTEE06806X,110,12,6,2021-2022
CTEE06901E,329,28,15,2021-2022
CTEE06906Q,211,19,10,2021-2022
CTEE84201D,95,10,5,2021-2022
CTEE84202E,99,13,5,2021-2022
CTEE845011,217,14,12,2021-2022
CTEE845022,179,11,10,2021-2022
CTEE89301A,209,7,10,2021-2022
MEEE848017,67,1,5,2021-2022
MEEE848028,123,3,9,2021-2022
MEEE848039,25,2,2,2021-2022
MEEE84806C,138,4,10,2021-2022
MEEE849013,220,6,15,2021-2022
MEEE849035,10,1,1,2021-2022
CTEE83801T,231,12,10,2021-2022
CTEE83802V,269,5,12,2021-2022
CTEE83803X,165,3,9,2021-2022
PAEE83001Q,38,1,3,2021-2022
PAEE83002R,27,0,2,2021-2022
PAEE83003T,33,4,3,2021-2022
PAEE830094,67,1,5,2021-2022
TPEE80601A,98,4,6,2021-2022
TPEE80602B,71,8,5,2021-2022
TPEE80603C,135,11,9,2021-2022
TPEE80604D,49,2,4,2021-2022
MEEE814036,28,0,2,2021-2022
PAEE88101L,196,9,11,2021-2022
ENEE825013,21,0,2,2021-2022
ENEE825024,130,11,10,2021-2022
ENEE825035,134,12,10,2021-2022
ENEE825046,20,5,2,2021-2022
ENEE825057,66,6,5,2021-2022
ENEE82601V,189,5,11,2021-2022
ENEE82602X,188,4,10,2021-2022
CTEE82104G,129,7,7,2021-2022
ENEE810019,70,5,4,2021-2022
ENEE81002A,81,6,5,2021-2022
ENEE81003B,105,8,6,2021-2022
MEEE84401X,21,0,2,2021-2022
MEEE844076,86,4,6,2021-2022
MEEE844087,13,1,1,2021-2022
TPEE807027,38,0,4,2021-2022
PAEE820048,59,4,4,2021-2022
PAEE818015,29,1,4,2021-2022
PAEE818026,67,1,5,2021-2022
AGEE84001C,183,5,10,2021-2022
AGEE84002D,129,4,9,2021-2022
AGEE864011,228,4,11,2021-2022
AGEE864022,95,3,6,2021-2022
SREE853047,171,13,10,2021-2022
RGEE026021,134,8,9,2021-2022
RGEE026032,152,8,10,2021-2022
RGEE026054,70,3,5,2021-2022
RGEE811015,205,7,12,2021-2022
RGEE811026,138,7,8,2021-2022
RGEE81801X,267,5,15,2021-2022
SREE844019,184,4,10,2021-2022
SREE84402A,105,7,6,2021-2022
SREE845015,92,7,6,2021-2022
SREE845026,115,5,7,2021-2022
PAEE88201C,157,6,11,2021-2022
AGEE85101V,143,9,9,2021-2022
AGEE85102X,177,4,11,2021-2022
MEEE83806T,21,0,2,2021-2022
CTEE803053,139,6,10,2021-2022
AGEE863015,275,6,16,2021-2022
AGEE863037,86,4,6,2021-2022
AGEE863048,139,6,8,2021-2022
CTEE84203G,79,4,5,2021-2022
CTEE84205N,80,4,5,2021-2022
RGEE004024,471,14,21,2021-2022
RGEE009016,467,10,20,2021-2022
RGEE011016,307,12,16,2021-2022
RGEE011027,249,7,12,2021-2022
RGEE82001X,231,4,10,2021-2022
RGEE820021,173,4,8,2021-2022
RGEE82201G,94,0,5,2021-2022
RGEE82202L,217,4,10,2021-2022
RGEE824028,181,7,9,2021-2022
RGEE824039,192,6,11,2021-2022
RGEE83101A,184,2,10,2021-2022
RGEE833012,43,0,4,2021-2022
RGEE833023,33,2,3,2021-2022
RGEE833034,133,7,8,2021-2022
CTEE89101P,90,7,5,2021-2022
CTEE89103R,122,9,7,2021-2022
CTEE89104T,173,11,9,2021-2022
CTEE89106X,94,10,5,2021-2022
CTEE073016,220,4,11,2021-2022
CTEE073038,89,0,5,2021-2022
CTEE84701L,100,7,5,2021-2022
AGEE841018,261,6,12,2021-2022
AGEE841029,195,11,9,2021-2022
AGEE819024,162,4,10,2021-2022
ENEE816018,284,18,16,2021-2022
MEEE84603N,8,0,1,2021-2022
CLEE807037,57,2,4,2021-2022
AGEE856012,252,9,12,2021-2022
AGEE856023,212,11,10,2021-2022
AGEE85701T,85,5,5,2021-2022
AGEE85702V,199,5,11,2021-2022
CLEE81701Q,143,6,7,2021-2022
CLEE81702R,105,18,5,2021-2022
CLEE81703T,169,8,8,2021-2022
CTEE8AL01D,101,9,6,2021-2022
CTEE8AL02E,130,7,7,2021-2022
CTEE8AL03G,109,11,8,2021-2022
CTEE8AL04L,40,3,3,2021-2022
MEEE83204R,70,4,5,2021-2022
MEEE83205T,58,1,5,2021-2022
PAEE84004D,55,3,5,2021-2022
PAEE82804V,82,2,5,2021-2022
MEEE82002C,20,0,2,2021-2022
MEEE83506A,17,0,2,2021-2022
MEEE881086,53,1,5,2021-2022
MEEE874061,31,1,3,2021-2022
MEEE874072,218,7,11,2021-2022
SREE84801L,353,25,17,2021-2022
SREE85002N,13,2,1,2021-2022
SREE85004Q,365,14,19,2021-2022
SREE85101C,214,8,11,2021-2022
SREE85103E,85,1,4,2021-2022
TPEE807038,68,4,5,2021-2022
TPEE829013,105,12,6,2021-2022
TPEE829035,100,4,5,2021-2022
TPEE829046,83,4,6,2021-2022
TPEE829057,73,2,5,2021-2022
AGEE81701B,211,8,11,2021-2022
AGEE813025,88,5,6,2021-2022
CLEE02401X,51,4,3,2021-2022
CLEE024043,371,16,20,2021-2022
CLEE024054,129,8,9,2021-2022
CLEE02501Q,417,30,22,2021-2022
CLEE025083,54,4,3,2021-2022
PAEE81501N,235,9,12,2021-2022
CTEE80902V,86,10,5,2021-2022
MEEE85201V,75,1,5,2021-2022
MEEE85202X,65,5,5,2021-2022
MEEE852031,25,4,2,2021-2022
MEEE852042,77,4,5,2021-2022
MEEE852053,101,8,6,2021-2022
MEEE82602B,104,2,8,2021-2022
AGEE818017,181,10,10,2021-2022
AGEE818028,111,8,8,2021-2022
CTEE84801C,466,7,20,2021-2022
CTEE84802D,113,5,6,2021-2022
CTEE8AM019,164,6,10,2021-2022
CTEE8AM02A,232,9,13,2021-2022
CTEE8AM05D,162,10,9,2021-2022
PAEE884014,213,6,12,2021-2022
PAEE884025,173,9,11,2021-2022
CTEE852036,401,9,18,2021-2022
CTEE86101V,248,7,12,2021-2022
CTEE86102X,173,8,9,2021-2022
MEEE877028,54,0,5,2021-2022
PAEE818037,46,1,5,2021-2022
CTEE80903X,99,9,6,2021-2022
MEEE84203A,57,4,4,2021-2022
MEEE84206D,21,1,2,2021-2022
MEEE878013,96,4,6,2021-2022
CTEE85301X,199,12,9,2021-2022
CTEE853043,147,12,8,2021-2022
MEEE84707N,41,4,4,2021-2022
MEEE81304B,54,2,5,2021-2022
TPEE809041,55,2,3,2021-2022
TPEE809052,68,3,4,2021-2022
TPEE809063,27,1,2,2021-2022
MEEE87901V,308,11,15,2021-2022
MEEE885049,176,12,10,2021-2022
CTEE087014,283,12,13,2021-2022
CTEE087025,152,6,8,2021-2022
CTEE087036,92,1,4,2021-2022
MEEE88903G,60,8,5,2021-2022
CTEE8A0056,53,4,4,2021-2022
MEEE83907P,82,3,6,2021-2022
MEEE83908Q,18,0,2,2021-2022
AGEE805015,48,1,3,2021-2022
CLEE807026,165,7,10,2021-2022
PAEE88102N,19,2,2,2021-2022
RGEE81401L,180,6,10,2021-2022
RGEE81402N,277,6,15,2021-2022
MEEE83507B,21,0,2,2021-2022
AGEE863026,103,0,9,2021-2022
PAEE88501X,187,10,11,2021-2022
PAEE885021,151,8,10,2021-2022
PAEE885032,70,5,5,2021-2022
MEEE85501A,172,4,10,2021-2022
AGEE80801L,233,13,13,2021-2022
CTEE85001C,276,9,15,2021-2022
CTEE85003E,86,4,5,2021-2022
MEEE81809Q,27,3,2,2021-2022
TPEE807016,177,13,11,2021-2022
MEEE06001V,118,5,9,2021-2022
MEEE06002X,74,6,5,2021-2022
MEEE060031,118,8,8,2021-2022
MEEE060053,72,6,5,2021-2022
MEEE060086,54,3,5,2021-2022
CTEE8AQ01L,89,6,6,2021-2022
CTEE8AQ02N,53,4,4,2021-2022
CTEE8AQ03P,69,2,5,2021-2022
CTEE8AQ05R,92,6,6,2021-2022
MEEE856016,180,5,10,2021-2022
AGEE813014,114,5,8,2021-2022
MEEE87403T,26,2,2,2021-2022
MEEE87404V,59,2,5,2021-2022
MEEE88902E,63,5,4,2021-2022
MEEE837051,48,3,4,2021-2022
AGEE034016,150,8,9,2021-2022
AGEE03406B,189,4,9,2021-2022
AGEE03407C,239,9,13,2021-2022
AGEE035012,303,10,15,2021-2022
AGEE84401Q,50,4,4,2021-2022
AGEE84402R,114,7,7,2021-2022
AGEE84403T,143,2,7,2021-2022
AGEE84501G,486,15,22,2021-2022
PAEE82503A,128,1,6,2021-2022
RGEE812011,384,13,20,2021-2022
RGEE81301R,188,5,10,2021-2022
RGEE81302T,46,1,4,2021-2022
RGEE81303V,28,0,3,2021-2022
RGEE81304X,271,8,14,2021-2022
RGEE82601V,339,7,18,2021-2022
PAEE8BD02D,34,2,3,2021-2022
PAEE819055,9,0,1,2021-2022
CTEE8AN015,237,25,12,2021-2022
CTEE8AN026,186,17,11,2021-2022
CTEE8AP01R,339,21,16,2021-2022
CLEE82001G,194,16,13,2021-2022
AGEE819013,152,4,9,2021-2022
MEEE83804Q,50,0,5,2021-2022
MEEE83805R,57,2,5,2021-2022
SREE80101B,47,4,2,2021-2022
SREE80102C,237,16,13,2021-2022
SREE802017,151,19,11,2021-2022
SREE802039,83,5,4,2021-2022
SREE80501P,111,14,7,2021-2022
SREE80503R,130,6,7,2021-2022
SREE80601E,328,23,17,2021-2022
SREE80701A,241,14,12,2021-2022
SREE80703C,108,4,5,2021-2022
SREE808016,245,18,13,2021-2022
SREE809012,303,16,15,2021-2022
SREE810016,105,8,6,2021-2022
SREE810027,104,6,5,2021-2022
SREE810038,53,5,3,2021-2022
SREE811012,161,4,8,2021-2022
SREE811023,219,8,11,2021-2022
SREE81201T,420,22,21,2021-2022
SREE81301N,267,9,13,2021-2022
SREE81302P,102,0,5,2021-2022
SREE82801B,248,19,12,2021-2022
SREE82802C,79,6,5,2021-2022
SREE82803D,94,5,5,2021-2022
SREE829017,357,12,16,2021-2022
SREE861013,364,18,19,2021-2022
SREE86201V,405,18,21,2021-2022
SREE817011,317,16,16,2021-2022
CLEE815014,285,8,14,2021-2022
SREE846011,172,5,9,2021-2022
SREE846033,144,9,8,2021-2022
MEEE87405X,140,8,9,2021-2022
ENEE062035,14,0,2,2021-2022
CLEE81904E,33,0,3,2021-2022
MEEE886023,187,6,10,2021-2022
MEEE886034,59,4,5,2021-2022
MEEE88609A,208,11,11,2021-2022
MEEE857012,81,5,6,2021-2022
MEEE857023,153,6,10,2021-2022
MEEE857034,40,1,3,2021-2022
MEEE857045,60,1,4,2021-2022
PAEE093032,311,6,17,2021-2022
PAEE093065,208,6,13,2021-2022
PAEE88601Q,81,2,5,2021-2022
PAEE88604V,86,3,5,2021-2022
PAEE88605X,105,11,7,2021-2022
PAEE886061,97,5,6,2021-2022
PAEE8A601D,190,6,11,2021-2022
PAEE10701L,269,20,15,2021-2022
PAEE88701G,417,13,20,2021-2022
MEEE87601B,101,1,6,2021-2022
MEEE87602C,69,6,5,2021-2022
MEEE87603D,126,9,10,2021-2022
MEEE877017,146,4,10,2021-2022
PAEE8AG019,425,23,24,2021-2022
MEEE89101D,175,4,10,2021-2022
MEEE89105N,41,2,4,2021-2022
MEEE891111,16,1,2,2021-2022
PAEE88801B,66,6,5,2021-2022
PAEE88802C,118,3,6,2021-2022
PAEE88803D,145,5,9,2021-2022
PAEE88804E,81,3,5,2021-2022
TPEE00301X,482,26,25,2021-2022
TPEE00401Q,272,20,14,2021-2022
TPEE00402R,80,14,6,2021-2022
TPEE00403T,156,9,9,2021-2022
TPEE82503T,99,3,5,2021-2022
TPEE82504V,94,4,5,2021-2022
TPEE825061,98,7,5,2021-2022
TPEE82601G,22,3,2,2021-2022
TPEE82602L,95,4,5,2021-2022
TPEE82604P,81,2,5,2021-2022
TPEE82605Q,87,2,5,2021-2022
TPEE836016,138,18,8,2021-2022
TPEE836027,127,25,8,2021-2022
TPEE836038,41,4,3,2021-2022
TPEE836049,92,4,5,2021-2022
TPEE84001T,169,12,10,2021-2022
TPEE84002V,63,3,5,2021-2022
TPEE84201D,117,23,8,2021-2022
TPEE84202E,77,20,6,2021-2022
TPEE84203G,73,3,5,2021-2022
PAEE83701E,110,3,6,2021-2022
CTEE857017,340,13,17,2021-2022
CTEE857028,112,1,5,2021-2022
CTEE081015,170,11,9,2021-2022
CTEE081026,47,2,2,2021-2022
CTEE081037,515,11,23,2021-2022
CTEE081059,192,15,10,2021-2022
CTEE858013,152,9,7,2021-2022
CTEE858024,112,5,6,2021-2022
MEEE816083,11,0,1,2021-2022
ENEE091013,131,6,9,2021-2022
ENEE091046,34,0,3,2021-2022
ENEE091057,86,0,6,2021-2022
ENEE09113L,64,0,5,2021-2022
MEEE814014,55,1,5,2021-2022
MEEE814025,16,0,2,2021-2022
MEEE83807V,23,0,2,2021-2022
PAEE89502G,37,1,4,2021-2022
TPEE837012,161,10,10,2021-2022
TPEE837045,154,10,9,2021-2022
MEEE82004E,98,6,6,2021-2022
ENEE817014,146,2,8,2021-2022
ENEE817025,110,3,7,2021-2022
ENEE817036,77,2,5,2021-2022
PAEE82802R,119,1,7,2021-2022
CLEE80403Q,139,9,9,2021-2022
CTEE85501G,143,8,8,2021-2022
CTEE85502L,38,3,2,2021-2022
CTEE85506R,94,7,5,2021-2022
MEEE82001B,166,9,10,2021-2022
PAEE812038,67,1,5,2021-2022
CTEE85601B,449,21,22,2021-2022
PAEE81604L,86,6,7,2021-2022
PAEE09501G,342,13,19,2021-2022
PAEE09503N,100,3,7,2021-2022
PAEE09504P,82,2,6,2021-2022
PAEE11301X,435,18,20,2021-2022
PAEE113021,292,11,13,2021-2022
AGEE826038,57,0,5,2021-2022
MEEE819028,87,3,5,2021-2022
MEEE819039,211,6,12,2021-2022
MEEE81905B,104,9,6,2021-2022
PAEE817019,160,6,10,2021-2022
CLEE80402P,53,1,5,2021-2022
ENEE82103T,10,1,1,2021-2022
ENEE82104V,152,10,11,2021-2022
TPEE81304L,58,7,5,2021-2022
RGEE03501P,230,6,13,2021-2022
RGEE035071,189,7,10,2021-2022
RGEE80202B,315,2,15,2021-2022
RGEE80203C,60,1,3,2021-2022
RGEE81501C,117,9,7,2021-2022
RGEE82701P,579,25,26,2021-2022
RGEE82801E,449,32,22,2021-2022
RGEE82901A,276,10,15,2021-2022
RGEE82902B,128,6,7,2021-2022
RGEE83401T,540,14,25,2021-2022
RGEE83402V,23,0,1,2021-2022
RGEE83501N,233,7,12,2021-2022
RGEE83502P,171,3,9,2021-2022
CTEE85902X,71,5,4,2021-2022
CTEE859031,139,9,8,2021-2022
CTEE08301R,291,10,15,2021-2022
CTEE860013,43,2,3,2021-2022
CTEE860024,45,4,4,2021-2022
CTEE860035,77,4,5,2021-2022
RGMM832015,328,6,13,2021-2022
CTMM85501E,147,8,8,2021-2022
CTMM81601X,381,23,20,2021-2022
CTMM814018,298,15,15,2021-2022
CTMM815014,347,21,22,2021-2022
CTMM8AR01B,260,13,12,2021-2022
CTMM8AS01L,210,14,11,2021-2022
CTMM81801G,355,16,18,2021-2022
CTMM81901B,153,9,8,2021-2022
CTMM830016,189,15,11,2021-2022
CTMM8AT01C,164,15,10,2021-2022
